Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"U8,U7,U12",TI_TSSOP-24_N,3,74LVC8T245PW,1
5,SW1,TACTB-64K-F,1,5V_1,1
6,SW2,TACTB-64K-F,1,3V3_1,1
7,SW3,TACTB-64K-F,1,2V5_1,1
8,SW4,TACTB-64K-F,1,1V8_1,1
9,SW5,TACTB-64K-F,1,RX,1
10,SW6,TACTB-64K-F,1,TX,1
11,SW7,TACTB-64K-F,1,SPY,1
12,SW8,TACTB-64K-F,1,ISO,1
13,SW9,TACTB-64K-F,1,5V_2,1
14,SW10,TACTB-64K-F,1,3V3_2,1
15,SW11,TACTB-64K-F,1,2V5_2,1
16,SW12,TACTB-64K-F,1,1V8_2,1
17,"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13",SOT23-3_N,12,PESD5V2S2UT,1
18,SW13,TACTB-64K-F,1,I2C_A,1
19,SW14,TACTB-64K-F,1,SPI_A,1
20,SW15,TACTB-64K-F,1,I2C_B,1
21,SW16,TACTB-64K-F,1,SPI_B,1
22,SW17,TACTB-64K-F,1,BOOT,1
30,CON5,NIGINI_NCDW-06,1,PORT D,1
37,"U9,U14,U15",SC70-6_N,3,74LVC1T45GW,1
40,CON6,NIGINI_NCDW-06,1,PORT B,1
41,CON7,NIGINI_NCDW-06,1,PORT A,1
44,"Q5,Q10",SC70-6_N,2,2N7002PS,1
45,U2,SOT23-5_N,1,MIC5504-3.3YM5-TR,1
46,U5,TSSOP-28_N,1,MAX3243EIPW,1
47,"U10,U16",SOIC-8_N,2,LP2951CD,1
49,U13,TI_VSSOP-8_N,1,74LVC2T45DCU,1
50,CON2,PIN3x2SMD,1,PIN-2x3,1
51,CON3,DB9MV,1,RS232,1
52,CON8,NIGINI_NCDW-06,1,PORT C,1
54,CON4,IDC10,1,PORT D,1
55,SW19,TACTB-64K-F,1,RTS,1
56,SW18,TACTB-64K-F,1,DTR,1
57,LED1,0805D,1,5V_1,1
58,LED2,0805D,1,3V3_1,1
59,LED3,0805D,1,2V5_1,1
60,LED4,0805D,1,1V8_1,1
61,LED5,0805D,1,RX,1
62,LED6,0805D,1,TX,1
63,LED7,0805D,1,SPY,1
64,LED8,0805D,1,ISO,1
65,LED9,0805D,1,5V_2,1
66,LED10,0805D,1,3V3_2,1
67,LED11,0805D,1,2V5_2,1
68,LED12,0805D,1,1V8_2,1
69,LED13,0805D,1,I2C_A,1
70,LED14,0805D,1,SPI_A,1
71,LED15,0805D,1,I2C_B,1
72,LED16,0805D,1,SPI_B,1
73,LED17,0805D,1,EN_A,1
74,LED18,0805D,1,EN_B,1
75,LED19,0805D,1,EN_C,1
76,LED20,0805D,1,EN_D,1
77,"LED21,LED29,LED31,LED35,LED39",0805D,5,DTR,1
78,"LED22,LED30",0805D,2,RTS,1
79,LED23,0805D,1,RI,1
80,"LED24,LED32,LED36,LED40",0805D,4,CTS,1
81,LED25,0805D,1,DSR,1
82,LED26,0805D,1,DCD,1
83,"LED27,LED34,LED38,LED42",0805D,4,TXD,1
84,"LED28,LED33,LED37,LED41",0805D,4,RXD,1
88,CON1,PIN4x2SMD,1,PIN-2x4,1
89,CON9,PIN2x2SMD,1,PIN-2x2,1
90,CON10,PIN5x2SMD,1,PIN-2x5,1
91,CON11,PIN12x2SMD,1,PIN-2x12,1
92,U1,QFP-64-0.5_N,1,STM32F030R8T6,1
93,G***,rabbit,1,LOGO,1
2,"C21,C2,C3,C4,C5,C12,C17,C19,C22,C24,C25,C26,C29,C30,C32,C33,C34,C35,C37,C38,C40,C41,C42,C45,C46,C20,C23,C36,C39,C48",0603_N,30,100n,1
3,"R18,R15,R19,R21,R22,R26,R29,R34,R35,R37,R38,R41,R45,R2,R4,R6,R48",0603_R_N,17,10k,1
4,"U6,U4",TSSOP-14_N,2,74HC08P,
23,D1,SOT23-3_N,1,BAS70,
24,"C6,C9,C10,C13,C14,C15,C16",0603_N,7,1u,
25,"C7,C27,C43",0603_N,3,10n,
26,"R5,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R30,R31,R32,R33,R36,R39,R3",0603_R_N,18,R,
27,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39",TP_1mm,39,Testpoint,
28,"MH1,MH2",mounting_hole_3.2_7.5_plated,2,hole,
29,MECH1,dummy,1,case,
31,"R20,R40",0603_R_N,2,4k7,
32,"R23,R42",0603_R_N,2,1k8,
33,"R24,R43",0603_R_N,2,3k9,
34,"R25,R44",0603_R_N,2,6k8,
35,"R27,R46",0603_R_N,2,5k6,
36,"R28,R47",0603_R_N,2,47k,
38,"C1,C8,C11,C28,C44",0805_N,5,10u,
39,"C31,C47",0603_N,2,1u,
42,Q1,SOT23-3_N,1,PDTA143ZT,1
43,"Q4,Q9,Q2,Q7,Q12",SOT23-3_N,5,PDTA143ZT,1
48,U11,TSSOP-16_N,1,74HC595D,
53,"Q6,Q11,Q3,Q8,Q13,Q14",SOT23-3_N,6,N-MOS_small,1
85,R1,0603_R_N,1,R,
86,"RN1,RN3,RN4,RN5,RN6,RN7,RN8,RN9",4x0603_N,8,R,
87,RN2,4x0603_N,1,N.C.,
